Book	Author(s)	Original language	First published	Approximate sales
Don Quixote	Miguel de Cervantes	Spanish	1612	500
A Tale of Two Cities	Charles Dickens	English	1859	200
O Alquimista (The Alchemist)	Paulo Coelho	Portuguese	1988	150
Le Petit Prince (The Little Prince)	Antoine de Saint-Exupéry	French	1943	140
Harry Potter and the Philosopher's Stone	J.K. Rowling	English	1997	107
The Hobbit	J. R. R. Tolkien	English	1937	100
And Then There Were None	Agatha Christie	English	1939	100
紅樓夢/红楼梦 (Dream of the Red Chamber)	Cao Xueqin	Chinese	1754	100
Alice in Wonderland	Lewis Carroll	English	1865	100
20,000 Leagues under the Sea	Jules Verne	French	1870	60
Anne of Green Gables	Lucy Maud Montgomery	English	1908	50
Ben-Hur: A Tale of the Christ	Lew Wallace	English	1880	50
Black Beauty	Anna Sewell	English	1877	50
Charlotte's Web	E.B. White; illustrated by Garth Williams	English	1952	50
Cien años de soledad (One Hundred Years of Solitude)	Gabriel García Márquez	Spanish	1967	50
Harry Potter and the Chamber of Secrets	J. K. Rowling	English	1998	60
Harry Potter and the Deathly Hallows	J. K. Rowling	English	2007	50
Harry Potter and the Goblet of Fire	J. K. Rowling	English	2000	55
Harry Potter and the Half-Blood Prince	J. K. Rowling	English	2005	65
Harry Potter and the Order of the Phoenix	J. K. Rowling	English	2003	55
Harry Potter and the Prisoner of Azkaban	J. K. Rowling	English	1998	55
Heidis Lehr- und Wanderjahre (Heidi's Years of Learning and Travel)	Johanna Spyri	German	1880	50
Il Nome della Rosa (The Name of the Rose)	Umberto Eco	Italian	1980	50
Lolita	Vladimir Nabokov	English	1955	50
She: A History of Adventure	H. Rider Haggard	English	1887	83
The Adventures of Sherlock Holmes	Arthur Conan Doyle	English	1887	60
The Bridges of Madison County	Robert James Waller	English	1992	50
The Catcher in the Rye	J. D. Salinger	English	1951	65
The Common Sense Book of Baby and Child Care	Dr. Benjamin Spock	English	1946	50
The Da Vinci Code	Dan Brown	English	2003	80
The Eagle Has Landed	Jack Higgins	English	1975	50
The Ginger Man	J. P. Donleavy	English	1955	50
The Hite Report	Shere Hite	English	1976	50
The Lion, the Witch and the Wardrobe	C. S. Lewis	English	1950	85
The Mark of Zorro	Johnston McCulley	English	1924	50
Think and Grow Rich	Napoleon Hill	English	1937	70
Watership Down	Richard Adams	English	1972	50
The Tale of Peter Rabbit	Beatrix Potter	English	1902	45
The Odyssey	Homer	Ancient Greek	8th Century BC	45
Jonathan Livingston Seagull	Richard Bach	English	1970	44
A Message to Garcia	Elbert Hubbard	English	1899	40
Sofies verden (Sophie's World)	Jostein Gaarder	Norwegian	1991	40
Flowers in the Attic	V. C. Andrews	English	1979	40
To Kill a Mockingbird	Harper Lee	English	1960	40
Angels & Demons	Dan Brown	English	2000	39
Как закалялась сталь (Kak zakalyalas' stal'; How the Steel Was Tempered)	Nikolai Ostrovsky	Russian	1932	36.4
Война и мир (Voyna i mir; War and Peace)	Leo Tolstoy	Russian	1869	36
